Unnamed: 0,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
habc8,Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5)
hemmb2,Yes (0.930176),Yes (0.9365620000000001),Yes (0.977086),Yes (0.989539),Yes (0.10232100000000001),Yes (0.993822),Yes (0.9969309999999999),Yes (0.997975),Yes (0.284335),Yes (0.860931),Yes (0.10232100000000001),Yes (0.5),Yes (0.9996079999999999),Yes (0.97849),Yes (0.9942030000000001),Yes (0.10232100000000001),Yes (0.9997209999999999),Yes (0.9769629999999999),Yes (0.994295),Yes (0.999556),Yes (0.994848),Yes (0.999626),Yes (0.9124180000000001),Yes (0.949401),Yes (0.323113),Yes (0.9735149999999999),Yes (0.9985879999999999),Yes (0.987266),Yes (0.997451),Yes (0.999951),Yes (0.056834),Yes (0.993742),No (0.036660000000000005),Yes (0.10232100000000001),Yes (0.958176),Yes (0.10232100000000001),Yes (0.6183609999999999),Yes (0.971498),Yes (0.316296),Yes (0.702678),Yes (0.9877379999999999),Yes (0.461779),Yes (0.976834),Yes (0.8277540000000001),Yes (0.792238),Yes (0.8779809999999999),Yes (0.9990829999999999),Yes (0.9952110000000001),Yes (0.998398),Yes (0.9999180000000001),Yes (0.8492540000000001),Yes (0.9425969999999999),Yes (0.090429),Yes (0.506219)
hmnhx4,Yes (1.0),Yes (0.38897600000000004),No (1.2e-05),Yes (0.097867),No (0.0),Yes (1.0),Yes (0.073937),Yes (1.0),Yes (0.6902659999999999),Yes (0.740811),No (0.0),No (0.00117),Yes (0.5),Yes (0.9999620000000001),Yes (0.999641),No (0.0),No (0.0019420000000000001),Yes (1.0),No (0.000792),No (0.0),Yes (0.999401),Yes (0.9550290000000001),Yes (0.074803),Yes (0.999999),Yes (1.0),No (0.0040100000000000005),Yes (0.9254979999999999),Yes (0.546437),Yes (0.119049),No (0.000758),No (0.0),Yes (0.258423),No (0.0),No (0.0),Yes (0.25953000000000004),No (0.0),Yes (1.0),Yes (0.993715),Yes (0.333663),Yes (0.41258100000000003),Yes (0.21986399999999998),Yes (0.05520599999999999),Yes (0.17356400000000002),Yes (0.999602),No (0.0),No (0.002856),Yes (0.710774),Yes (0.769552),Yes (0.5165609999999999),Yes (0.9924620000000001),Yes (0.178153),Yes (0.310341),Yes (1.0),No (0.0)
hnldm2,Yes (0.372463),Yes (0.985894),No (0.003462),No (1e-06),No (0.0),Yes (0.402832),No (1e-06),No (0.010209000000000001),Yes (1.0),Yes (1.0),No (0.0),No (0.003144),Yes (0.284725),Yes (0.5),No (3e-06),No (0.0),No (2e-06),Yes (0.9969299999999999),No (0.0),No (9.1e-05),Yes (1.0),No (0.00024900000000000004),No (1e-06),Yes (0.9478059999999999),Yes (0.332532),Yes (0.066913),No (1e-06),Yes (0.82981),No (4e-06),No (1.3000000000000001e-05),No (0.0),No (0.002391),No (0.0),No (0.0),Yes (0.41122700000000006),No (0.0),No (0.00014),Yes (0.6796260000000001),Yes (0.94796),Yes (0.598036),Yes (0.390866),Yes (0.998566),No (0.010883),Yes (0.21633200000000002),No (0.0),No (0.0),Yes (0.133476),No (0.000643),No (0.001615),Yes (0.8666209999999999),No (0.015307),No (7.000000000000001e-06),No (0.015021000000000001),No (0.0)
jac345,Yes (0.995093),Yes (0.333776),Yes (0.9981690000000001),Yes (0.864373),No (6.500000000000001e-05),Yes (0.885777),Yes (0.22002600000000003),Yes (1.0),No (0.000223),Yes (0.753152),No (6.500000000000001e-05),Yes (0.97165),Yes (0.999964),Yes (1.0),Yes (0.5),No (6.500000000000001e-05),Yes (0.9221450000000001),Yes (0.9999959999999999),Yes (0.421386),Yes (0.81662),Yes (0.899366),Yes (0.993397),Yes (0.707762),Yes (0.999031),Yes (0.970232),Yes (0.802643),Yes (0.90249),Yes (1.0),Yes (0.950752),Yes (0.8836729999999999),No (0.049055),Yes (0.9206709999999999),No (0.0131),No (6.500000000000001e-05),Yes (0.813004),No (6.500000000000001e-05),Yes (0.733201),Yes (0.9994540000000001),Yes (0.5295949999999999),Yes (0.938167),Yes (0.9953719999999999),No (0.0),Yes (0.6876800000000001),Yes (0.44309899999999997),No (0.024145),Yes (0.226661),Yes (0.975088),Yes (0.8497819999999999),Yes (0.989877),Yes (0.9992690000000001),Yes (0.363336),Yes (0.36039699999999997),Yes (0.994183),No (0.005831)
jahq76,Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5)
jdf5g4,Yes (0.9966370000000001),Yes (0.77686),Yes (0.9379200000000001),Yes (0.8402069999999999),No (0.013043),Yes (0.803581),Yes (0.9618530000000001),Yes (0.720372),Yes (0.686084),Yes (0.7724409999999999),No (0.013043),Yes (0.7397859999999999),Yes (0.191901),Yes (0.8582280000000001),Yes (0.8381639999999999),No (0.013043),Yes (0.5),Yes (0.340447),Yes (0.47055600000000003),Yes (0.513013),Yes (0.9340930000000001),Yes (0.766085),Yes (0.547171),Yes (0.9705809999999999),Yes (0.973783),Yes (0.34331),Yes (0.977757),Yes (0.464304),Yes (0.9559690000000001),Yes (0.907156),Yes (0.096316),Yes (0.964859),No (0.029506),No (0.013043),Yes (0.708338),No (0.013043),Yes (0.779559),Yes (0.995992),Yes (0.110918),Yes (0.3566),Yes (0.9966520000000001),Yes (0.31547800000000004),Yes (0.8051189999999999),Yes (0.7404470000000001),Yes (0.098361),Yes (0.5298619999999999),Yes (0.883758),Yes (0.9496399999999999),Yes (0.996132),Yes (0.240244),Yes (0.186446),Yes (0.8555290000000001),Yes (0.970992),Yes (0.8977639999999999)
jfk535,No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (0.99765),No (0.0),Yes (1.0),Yes (0.999776),Yes (1.0),No (0.0),No (0.0),Yes (1.0),Yes (0.780497),No (0.0),No (0.0),No (0.0),Yes (0.5),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (0.879135),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (0.9999520000000001),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),No (0.0),No (0.0)
jhgn9c,Yes (0.9999979999999999),Yes (0.999016),Yes (0.9999979999999999),Yes (0.99997),Yes (0.812774),Yes (0.994334),Yes (0.998983),Yes (0.999916),Yes (0.997292),Yes (0.998692),Yes (0.812774),Yes (0.999983),Yes (0.999994),Yes (0.99998),Yes (0.999826),Yes (0.812774),Yes (0.999084),Yes (0.9837299999999999),Yes (0.5),Yes (0.9998319999999999),Yes (0.999909),Yes (0.9484549999999999),Yes (0.9997799999999999),Yes (1.0),Yes (0.998217),Yes (0.999667),Yes (0.999598),Yes (0.987915),Yes (1.0),Yes (0.999999),Yes (0.9385),Yes (0.998756),Yes (0.9751989999999999),Yes (0.812774),Yes (0.998417),Yes (0.812774),Yes (0.9971260000000001),Yes (0.92314),Yes (0.9846440000000001),Yes (0.998453),Yes (0.999986),Yes (0.99721),Yes (0.9976889999999999),Yes (1.0),Yes (0.9905959999999999),Yes (0.6673600000000001),Yes (0.988527),Yes (0.999993),Yes (1.0),Yes (0.999964),Yes (0.964883),Yes (0.999125),Yes (0.994835),Yes (0.985973)
jkn7fc,Yes (0.999999),Yes (0.9999709999999999),Yes (0.999891),Yes (0.9999950000000001),Yes (0.9635670000000001),Yes (0.999925),Yes (0.9983920000000001),Yes (0.999919),Yes (0.998684),Yes (0.999442),Yes (0.9635670000000001),Yes (0.999976),Yes (0.9927370000000001),Yes (1.0),Yes (1.0),Yes (0.9635670000000001),Yes (0.999907),Yes (0.999983),Yes (0.99982),Yes (0.5),Yes (0.9999959999999999),Yes (0.999991),Yes (0.999993),Yes (0.999999),Yes (0.9999899999999999),Yes (0.999893),Yes (0.999999),Yes (0.834514),Yes (0.999999),Yes (1.0),Yes (0.553395),Yes (0.9999819999999999),Yes (0.976867),Yes (0.9635670000000001),Yes (0.999948),Yes (0.9635670000000001),Yes (0.9999889999999999),Yes (0.9999979999999999),Yes (0.9783200000000001),Yes (0.999999),Yes (1.0),Yes (0.98849),Yes (0.9999959999999999),Yes (0.999916),Yes (0.9993629999999999),Yes (0.999616),Yes (0.999552),Yes (1.0),Yes (0.999999),Yes (0.998179),Yes (0.999008),Yes (1.0),Yes (0.9999979999999999),Yes (0.9996889999999999)
