,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
ajb9b3,0.000000,-0.192299,2.976106,1.190880,-2.923626,2.129980,0.443493,5.077474,-3.583550,1.199067,-2.923626,0.940623,5.140168,4.719484,-0.198093,-2.923626,1.567380,3.268248,0.479968,2.240067,1.994225,2.966931,0.502922,2.517057,-0.876435,2.227621,3.251865,2.322781,2.297933,0.987824,-1.247938,2.066634,-2.696427,-2.923626,4.027212,-2.923626,0.672596,2.780983,1.194064,2.368402,2.748412,-4.501345,1.497295,0.599187,-0.368996,-0.872344,3.177621,2.625524,2.478712,4.012026,1.126809,1.041166,0.697449,-1.121341
ajdqnf,-9.905872,0.000000,-11.136922,-11.700275,-14.832293,-9.925362,-10.996653,-10.073082,0.191600,4.722593,-14.832293,-12.114943,-9.931457,-9.945475,-10.210203,-14.832293,-12.071166,-10.636865,-12.156686,-11.655323,-23.221433,-11.332841,-12.740954,-10.713611,-10.024212,-12.108882,-10.701279,-10.067145,-13.365581,-10.974354,-14.502002,-12.529777,-14.591336,-14.832293,381.993258,-14.832293,-10.159687,-9.886891,0.412855,-10.621397,-9.861579,-0.016212,-10.873066,-10.121639,-13.840122,-11.678639,-10.841324,-11.919175,-10.757457,-10.004827,0.051568,-12.296219,-9.983044,-13.185641
amsh7c,1.610963,0.401350,0.000000,2.097319,-2.221153,2.149103,0.140959,2.629631,1.254082,-0.023793,-2.221153,-0.162806,-0.669424,-1.692168,2.484023,-2.221153,0.114715,0.062440,-1.019797,0.996388,0.029347,0.517282,1.707367,2.077600,0.795450,-0.396505,2.234214,-0.045363,1.730624,1.242743,-4.151417,0.536400,-1.536213,-2.221153,-0.701241,-2.221153,1.112966,-1.483136,-0.141941,-0.257259,1.057665,0.336159,-1.154110,2.142927,-1.128366,-0.523199,-1.637849,0.638536,0.991438,1.757655,0.286249,0.576708,0.461938,-0.197834
bay6g7,2.209709,9.494180,-1.275389,0.000000,-3.999153,4.015024,0.339956,2.251989,10.240623,10.905161,-3.999153,-0.056808,1.794813,2.589815,2.163452,-3.999153,-1.158796,5.019149,-1.370178,-0.175714,6.782559,-0.077719,-0.511680,3.631128,2.533543,0.736308,-0.673002,2.988700,-0.186635,0.252878,-2.674427,-0.964924,-3.199305,-3.999153,4.754982,-3.999153,1.583254,2.108009,10.828634,4.696938,1.484279,6.403951,-0.295969,5.446038,-2.514565,-1.598231,0.356551,0.711674,-0.403073,2.586207,9.545819,-1.586808,1.800053,-2.178436
cjdk88,13.000139,7.775623,4.103696,4.382487,0.000000,9.828976,3.803252,10.889150,8.896643,9.387904,0.000000,5.448911,9.930627,12.984403,12.003157,0.000000,5.375490,15.247807,1.871571,0.138468,8.573408,4.124245,7.004698,12.908383,8.714096,5.456185,3.136817,6.283047,5.878944,7.165734,0.825732,2.888894,2.488125,0.000000,5.141419,0.000000,10.168800,10.716541,8.152704,8.961393,4.508215,5.922286,4.235293,13.483465,-0.899959,2.892342,4.599649,7.299917,6.517629,13.607138,7.001889,4.803330,7.758653,-0.229619
ctkbn4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dlokv6,6.226122,4.625214,4.194723,4.041721,0.393708,5.569819,0.000000,8.073876,2.974615,4.587905,0.393708,5.595686,6.894868,8.303848,6.637921,0.393708,3.195766,8.945837,3.255100,1.077875,1.849786,4.596545,6.268062,6.612125,5.177180,4.940590,5.849310,5.004816,4.757145,1.133092,0.820835,3.059234,2.640799,0.393708,3.184950,0.393708,7.270748,6.788295,3.996736,7.365766,5.327631,1.707246,4.463829,8.585949,1.316615,2.091982,5.768684,7.312830,4.540371,7.378016,5.468752,3.583639,7.182938,1.113923
dsdxd8,2.773511,-1.152612,0.521297,0.174772,-4.973847,2.515465,0.334258,0.000000,0.001500,0.222696,-4.973847,-0.286132,2.454281,4.532311,3.483706,-4.973847,-2.218505,1.597094,-1.661595,-0.716137,3.131216,1.811906,-2.662815,3.168357,4.180468,2.921902,-0.048224,2.993510,-1.111531,-0.590604,-3.596331,1.209644,-5.675331,-4.973847,1.124902,-4.973847,1.393524,5.210260,-0.124918,1.005315,2.139516,-0.443676,1.848166,6.116502,-3.384815,-3.199587,3.341869,2.075345,1.262246,4.214518,-1.377479,-0.088255,2.237811,-3.813126
dtqb7d,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
elnfhc,0.244580,-1.785549,-0.751389,0.567775,-4.866112,3.589590,0.391385,1.378423,0.383432,0.000000,-4.866112,0.165688,3.857289,4.044578,0.020897,-4.866112,-0.074131,2.236328,-1.057533,1.879647,3.242672,3.727163,-0.763962,1.054237,1.286432,1.383303,1.623897,7.550553,-0.063240,1.222700,-3.709691,2.044184,-4.316560,-4.866112,2.122406,-4.866112,-0.084709,5.040443,-0.696159,3.024651,2.443919,-0.830238,1.990942,0.973245,-3.572932,-3.418743,4.285178,1.544988,-0.041792,4.974070,-1.300803,-2.346906,0.652122,-3.769073
