,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
ajb9b3,0.000000,0.561235,2.709386,1.341806,-1.357429,2.508340,1.172218,4.947409,-1.994995,2.161637,-1.357429,1.884220,4.669137,4.597328,0.215037,-1.357429,1.627061,3.269857,0.456630,2.482505,1.871266,2.682052,1.282529,2.929333,0.284462,2.495918,3.035128,2.063273,2.221381,1.072043,-0.394887,2.005980,-0.990385,-1.357429,4.246416,-1.357429,1.118842,2.630805,1.790013,2.191879,2.735418,-2.560983,1.825261,1.489439,-0.024163,-0.110611,3.086667,2.766577,2.389727,3.101951,1.357520,0.804374,1.326289,-0.314541
ajdqnf,-8.456754,0.000000,-10.205677,-9.766444,-12.807521,-8.506699,-9.320024,-8.693769,0.215103,7.414559,-12.807521,-10.212683,-8.452397,-8.533504,-8.623840,-12.807521,-10.714704,-9.884437,-10.903505,-9.912418,-31.313051,-10.003852,-11.147082,-9.225660,-8.602831,-10.215192,-9.128110,-8.710842,-11.281280,-9.488519,-12.698030,-11.321446,-12.188755,-12.807521,-67.090544,-12.807521,-8.619788,-8.544500,0.497844,-9.062514,-8.414814,-0.015205,-9.444780,-8.935457,-12.345990,-9.832052,-10.059323,-10.773748,-9.316623,-8.650326,0.166476,-11.207335,-8.499628,-11.576433
amsh7c,1.444028,0.570344,0.000000,1.268717,-1.501341,1.708992,0.089915,2.053234,1.550216,0.126768,-1.501341,-0.270792,-0.570028,-1.229110,2.198017,-1.501341,0.002177,0.020155,-0.859714,0.786120,-0.043352,0.212753,1.231159,1.980377,0.885218,-0.618767,1.719798,0.067664,1.475717,1.147042,-3.516202,0.304518,-1.615807,-1.501341,-0.381352,-1.501341,1.039165,-1.415173,0.275398,-0.132483,0.874984,0.645565,-0.871587,1.917283,-1.085285,-0.352172,-1.734634,0.262196,0.844794,1.092666,0.755756,0.229151,0.375255,0.021436
bay6g7,2.517172,8.084322,-0.850960,0.000000,-3.044263,3.095015,0.692903,2.737152,9.344619,9.729198,-3.044263,0.223378,2.227356,2.797367,2.366710,-3.044263,-1.030998,5.131252,-1.214537,-0.063988,7.224943,-0.077095,-0.182882,3.719731,2.981204,0.969198,-0.171781,3.474205,0.317726,0.759219,-2.067832,-0.456206,-2.876646,-3.044263,4.831473,-3.044263,2.174599,2.623348,9.901052,4.240564,2.325298,5.731287,-0.174269,5.844072,-1.922182,-0.313450,1.221578,1.264161,-0.253514,2.247153,8.602184,-2.004656,2.545900,-1.235463
cjdk88,10.367543,7.074251,3.504918,3.382645,0.000000,7.743078,3.131992,8.841291,8.176450,8.529883,0.000000,4.017530,7.901864,11.205583,10.634979,0.000000,4.050152,12.653099,1.120539,-0.393934,8.023221,2.894024,4.869232,10.332010,7.375966,4.982997,2.568844,4.860830,4.576809,6.112653,-0.108999,2.376434,1.967032,0.000000,4.076641,0.000000,9.102411,9.587968,7.834026,8.147968,4.048867,5.188625,3.439644,11.529054,-0.938797,2.118533,3.489246,5.603343,4.526047,11.220826,6.718605,3.584117,6.721654,-0.274904
ctkbn4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dlokv6,5.768815,4.764075,3.822392,3.532050,0.948720,5.325479,0.000000,7.193602,4.004873,4.424500,0.948720,5.149538,6.030562,7.569892,6.661833,0.948720,2.586799,8.396258,2.972462,1.268813,2.633090,4.177335,5.418542,6.686721,5.025988,4.553059,5.498374,4.985788,4.161954,1.166726,1.456227,2.795386,2.753483,0.948720,3.494868,0.948720,6.509024,6.206973,4.598089,6.670871,4.816351,2.808993,4.149980,8.470873,1.030661,2.387613,5.308999,6.353487,4.172717,6.496531,5.936729,3.074010,6.826691,0.903177
dsdxd8,2.114824,-0.542211,0.507994,-0.308738,-3.983523,2.153311,0.594381,0.000000,0.242069,0.605332,-3.983523,-0.431035,2.609365,3.686589,3.230244,-3.983523,-2.233909,1.537127,-1.721676,-0.375877,3.399195,1.773561,-2.246399,3.124074,3.496860,2.452594,-0.157506,2.765678,-1.222731,-0.403371,-3.422958,1.165511,-4.609845,-3.983523,1.381384,-3.983523,1.507720,4.266244,0.270481,0.872045,1.537869,-0.049773,1.580954,5.916417,-3.444240,-2.580041,2.652910,1.709388,0.715077,3.720035,-0.315135,-0.114235,1.993041,-3.897516
dtqb7d,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
elnfhc,-0.052950,-1.711600,-0.773239,-0.743866,-4.296748,2.569351,-0.075818,0.584141,0.021836,0.000000,-4.296748,-0.085190,3.305399,2.837458,-0.295171,-4.296748,-0.747081,1.708873,-1.767488,1.586684,2.313577,2.670101,-1.306475,0.076708,0.966375,0.787766,0.956959,5.645635,-0.463368,0.419143,-3.799175,1.446213,-4.265091,-4.296748,1.666778,-4.296748,-0.267186,3.571150,-0.658484,2.890340,1.923353,-1.415167,1.325805,0.591188,-3.530817,-3.076824,3.243120,0.689537,-1.027524,3.232401,-1.671086,-2.496026,0.426684,-4.055917
