,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
ajb9b3,-0.21826241039837369,-0.1985656777241619,-0.5065341146574177,-0.336225261510278,0.0001,-0.44234964013611394,-0.25655183665457715,-0.6672295476445325,0.0856240028998717,-0.335047240752911,0.0001,-0.30886302522313797,-0.6817412802558334,-0.6685230656076646,-0.1988190742370977,0.0001,-0.358745858846152,-0.5234120959496172,-0.2595411397193041,-0.44640051012584564,-0.4349637005230275,-0.5230248629612075,-0.26291003704409566,-0.4725772952668162,-0.1336344403781428,-0.4498634357974647,-0.53140455335387,-0.4751006661268265,-0.43880750532333945,-0.31283453417985424,-0.12109329091402112,-0.42856782871318017,-0.025274665941337825,0.0001,-0.6103987549088369,0.0001,-0.2876728382781022,-0.5059163618006149,-0.33177005562981293,-0.463877969098555,-0.4930847295078656,0.13386624310858247,-0.3691321764201211,-0.2804029723881413,-0.18565162841989394,-0.15014108893246003,-0.5273493175363766,-0.4921706474995976,-0.46642730451457837,-0.614337916294719,-0.32802277029534127,-0.30658666738905904,-0.2830466585641127,-0.127437636125504
ajdqnf,-0.35591789212404645,-0.8481651124462823,-0.22731287174921802,-0.25817393039542835,0.0001,-0.38338519956446787,-0.2509073880223884,-0.31578878203905625,-0.818856278104597,-0.672524612495901,0.0001,-0.09009196439849232,-0.34776573104543124,-0.38782303872700313,-0.3277674843239706,0.0001,-0.1569394927117896,-0.4999567328402576,-0.13671950195478239,-0.14433890579336833,-0.6138211880688441,-0.16024586192554002,-0.05498012111573926,-0.4805827974957969,-0.3275388923538059,-0.11852077974658254,-0.2880247130227683,-0.43179020551445485,-0.05674178173126764,-0.2427311788886024,-0.003990321920128799,-0.050542979686490075,-0.003937686025610241,0.0001,-0.6092192293892834,0.0001,-0.3227801827202853,-0.3991945605596436,-0.8025692235742024,-0.46950708707369027,-0.3636406764742212,-0.8511922825582904,-0.22457285005732455,-0.4716799374002011,-0.11812772882530616,-0.21732094473813565,-0.2274121374684038,-0.1421850673094867,-0.2873366416104768,-0.43861359813578,-0.8420469516761119,-0.09870091644421554,-0.3401496134269049,-0.109175578236026
amsh7c,-0.33480986399158563,-0.20155890986333455,-0.16611861855511034,-0.3509984843024082,0.0001,-0.37803532943272106,-0.18013690445744998,-0.4046726006212245,-0.282656250437675,-0.16410627633638536,0.0001,-0.15108351115914517,-0.11074755471912588,-0.02258317897508743,-0.4369273677719675,0.0001,-0.17638017548130033,-0.17243352156360997,-0.07049056268128721,-0.2452062635364435,-0.16913425053851378,-0.2197633776818018,-0.3351710715804632,-0.37002419905939715,-0.25124890078571044,-0.12568884779259573,-0.383939268829636,-0.16166941342342284,-0.3295799040184031,-0.2765696746126748,0.15026274424341718,-0.21819586914249955,-0.04694338305792538,0.0001,-0.09922538848838922,0.0001,-0.28038298566561776,-0.020474370150981133,-0.15443947002251202,-0.14282638784126345,-0.27687332421572963,-0.19591530963795098,-0.04516896773997188,-0.3669301090088918,-0.0785434075539947,-0.115592392682865,-0.0021987532352182003,-0.22721123616553063,-0.26458043221769356,-0.3184225013789314,-0.19163527382155968,-0.21942751393142074,-0.21606029008947247,-0.14877879725865226
bay6g7,-0.4979384248170233,-0.8048799858719489,-0.1840091572071926,-0.297264694214956,0.0001,-0.6195619575644931,-0.33017904632510203,-0.5052268265254137,-0.8394499988580465,-0.857502134091361,0.0001,-0.2918304719109756,-0.45934468874709494,-0.5272733523664646,-0.48769802064077566,0.0001,-0.18767342208566118,-0.6862592960376973,-0.1673769739763398,-0.28221517556598447,-0.7412874533180707,-0.2894476475910377,-0.24990737237644872,-0.5975399912180802,-0.5293355394495631,-0.3696262711358645,-0.23780076884934778,-0.5573367887921779,-0.27971837678455064,-0.32000594133634996,-0.0762759136286278,-0.20259754726314722,-0.029801193934349376,0.0001,-0.6465033199056424,0.0001,-0.4450196686402577,-0.49604040470573324,-0.8485714188282564,-0.6489820669505237,-0.4283831313514391,-0.69977971596906,-0.26700919511959165,-0.6921898607058573,-0.09992483975698263,-0.15824216722612655,-0.3336182750714079,-0.3640781122803649,-0.257715546252443,-0.5172813472995017,-0.8162770485113214,-0.1518804609163508,-0.46256356584856667,-0.11556292658771022
cjdk88,-0.799275488361703,-0.555811728241753,-0.30487186189914994,-0.3250812080684215,0.0001,-0.6714120803532236,-0.2829708495960043,-0.7210657129096402,-0.6219196564187102,-0.648659233783663,0.0001,-0.4011139652310637,-0.676483105445266,-0.7987862739704101,-0.7656092415525216,0.0001,-0.39595562739248996,-0.8572877029053888,-0.14006042785113143,-0.010287326058236857,-0.6035560378469654,-0.30636531596792654,-0.5067725897420726,-0.7964045881374282,-0.611621835230027,-0.4016243110801364,-0.2340144966935864,-0.4587185847698476,-0.43105486108098057,-0.5172277817959188,-0.06182377236827666,-0.21569259976938415,-0.18597426390836863,0.0001,-0.37942758322966036,0.0001,-0.6881082154897549,-0.7134701865506603,-0.5787899903706964,-0.6255260752556188,-0.3341557499193863,-0.4340449718555937,-0.31442564928316,-0.8136859939313437,0.06758569595832314,-0.2159477246625128,-0.34073861618199325,-0.5258576034391914,-0.47454140879335965,-0.8171875515108654,-0.5065892762056198,-0.3553498825494169,-0.5547611200021827,0.01732477638780605
ctkbn4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
dlokv6,-0.5030970437634171,-0.3725788178439823,-0.38476801870684835,-0.3818963418163136,0.0001,-0.45634072068847303,0.029632364402845814,-0.6855617459686605,-0.19347158965203748,-0.3727767490838736,0.0001,-0.45803290061398894,-0.6015748606761664,-0.7264586163637028,-0.5407997409116302,0.0001,-0.2546860887804821,-0.7167777962128872,-0.23607785229798045,-0.06634259352511547,-0.12948049156019595,-0.38145433367377046,-0.5437023753125505,-0.5959219886642789,-0.386867504367914,-0.44641883330886983,-0.5590064019724138,-0.3997593498059645,-0.4341971678341528,-0.05896906452114005,-0.02549741196244,-0.25082464600866944,-0.18731128219358673,0.0001,-0.2572237863601501,0.0001,-0.5539250023098555,-0.5743371518021996,-0.3240900963708608,-0.6097304604804933,-0.4796197701672241,-0.09617166802412094,-0.39240239722608483,-0.6796561747647527,-0.08516209352076794,-0.12043469286979232,-0.4572266499141181,-0.637541417957191,-0.3753667320961232,-0.6601239410202163,-0.3874087792812061,-0.30880286233607435,-0.5299683878751431,-0.051039236599085096
dsdxd8,-0.606689571671781,-0.2523491604073869,-0.41202671518835793,-0.3841596720301447,0.0001,-0.5966668682568768,-0.3983648173776687,-0.3675223096186769,-0.3676625534095778,-0.38938621554443326,0.0001,-0.34229921065074187,-0.5639151740663656,-0.7126989406467292,-0.6529587249587873,0.0001,-0.1667664915842584,-0.5123991293552266,-0.22606587322924143,-0.29539450704783093,-0.6415229596052353,-0.5202872182873722,-0.1892272226750137,-0.6345132712203791,-0.6966920797380632,-0.6246830362125358,-0.3627949790145633,-0.6213626021878456,-0.2680193465276491,-0.31556886806747864,-0.09559389551135056,-0.47344086184940015,0.017279854789102864,0.0001,-0.4776656736723159,0.0001,-0.4863558256087665,-0.7289063810233818,-0.3562686837830329,-0.46438975626231466,-0.5656631050527371,-0.3270417784438614,-0.527625487949984,-0.7639341520296606,-0.10286752965543182,-0.10885286759798554,-0.6521386363614274,-0.5553438012918455,-0.49136960435970456,-0.6935203457884255,-0.24712315379287633,-0.3602164999355044,-0.5638081999928368,-0.05648719210068507
dtqb7d,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
elnfhc,-0.38234050663204705,-0.13295219731179536,-0.2997773988905255,-0.40723305848033026,0.0001,-0.6535645192609207,-0.3914036405919101,-0.4886533061407728,-0.4044715196308489,-0.3598381615641738,0.0001,-0.37419909205266444,-0.6571678720811097,-0.6786811693530183,-0.36189466436138495,0.0001,-0.3541121154833731,-0.5714204679281087,-0.27612521531791906,-0.5035532107327504,-0.6495848015607184,-0.6285482525639682,-0.296423204976236,-0.4600509044157515,-0.4771621635673118,-0.47528572484212367,-0.4913466504790774,-0.8030631059241244,-0.35460575199444333,-0.45639811218347887,-0.08077129195568412,-0.520329260203458,-0.016611589870446454,0.0001,-0.5700640284639266,0.0001,-0.3522718608609988,-0.7205363555902362,-0.27587117709081554,-0.6233784415899823,-0.5696256845247103,-0.26334953465430133,-0.5185412958378506,-0.46062666285785225,-0.094086125708324,-0.09155755873116032,-0.6658550904193433,-0.4868982800332829,-0.3564966488287087,-0.7197194341680843,-0.20959514035338034,-0.1746583260634604,-0.4219120293846609,-0.07213021287799036
