,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
ajb9b3,0.500000,0.712681,0.996630,0.910170,0.087323,0.993935,0.879445,1.000000,0.023022,0.984677,0.087323,0.970232,0.999998,0.999998,0.585131,0.087323,0.948138,0.999462,0.676032,0.993477,0.969346,0.996341,0.900171,0.998301,0.611972,0.993718,0.998798,0.980457,0.986837,0.858150,0.346463,0.977571,0.160993,0.087323,0.999989,0.087323,0.868396,0.995741,0.963274,0.985806,0.996885,0.005219,0.966019,0.931814,0.490361,0.455962,0.998988,0.997168,0.991570,0.999039,0.912692,0.789410,0.907628,0.376555
ajdqnf,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.585156,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.690703,0.000000,0.000000,0.493934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.566109,0.000000,0.000000,0.000000
amsh7c,0.925634,0.715778,0.500000,0.897729,0.066634,0.956274,0.535823,0.979975,0.939455,0.550438,0.066634,0.393275,0.284329,0.109515,0.986026,0.066634,0.500868,0.508040,0.194973,0.784101,0.482710,0.584240,0.890868,0.976169,0.811981,0.268035,0.957265,0.526973,0.929990,0.874318,0.000219,0.619633,0.053068,0.066634,0.351471,0.066634,0.850636,0.078509,0.608495,0.447301,0.809209,0.740719,0.191717,0.972399,0.138898,0.362355,0.041403,0.603415,0.800887,0.862730,0.775102,0.590624,0.646265,0.508551
bay6g7,0.994085,1.000000,0.197396,0.500000,0.001166,0.999016,0.755815,0.996901,1.000000,1.000000,0.001166,0.588379,0.987038,0.997424,0.991027,0.001166,0.151271,1.000000,0.112271,0.474490,1.000000,0.469274,0.427445,0.999900,0.998564,0.833777,0.431805,0.999744,0.624653,0.776139,0.019328,0.324121,0.002010,0.001166,0.999999,0.001166,0.985170,0.995646,1.000000,0.999989,0.989972,1.000000,0.430827,1.000000,0.027291,0.376970,0.889066,0.896914,0.399935,0.987685,1.000000,0.022500,0.994550,0.108329
cjdk88,1.000000,1.000000,0.999772,0.999641,0.500000,1.000000,0.999132,1.000000,1.000000,1.000000,0.500000,0.999971,1.000000,1.000000,1.000000,0.500000,0.999974,1.000000,0.868758,0.346815,1.000000,0.998098,0.999999,1.000000,1.000000,1.000000,0.994898,0.999999,0.999998,1.000000,0.456602,0.991260,0.975410,0.500000,0.999977,0.500000,1.000000,1.000000,1.000000,1.000000,0.999974,1.000000,0.999709,1.000000,0.173917,0.982935,0.999758,1.000000,0.999997,1.000000,1.000000,0.999831,1.000000,0.391695
ctkbn4,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
dlokv6,1.000000,0.999999,0.999934,0.999794,0.828619,1.000000,0.500000,1.000000,0.999969,0.999995,0.828619,1.000000,1.000000,1.000000,1.000000,0.828619,0.995156,1.000000,0.998523,0.897746,0.995769,0.999985,1.000000,1.000000,1.000000,0.999997,1.000000,1.000000,0.999984,0.878340,0.927335,0.997408,0.997052,0.828619,0.999763,0.828619,1.000000,1.000000,0.999998,1.000000,0.999999,0.997515,0.999983,1.000000,0.848650,0.991521,1.000000,1.000000,0.999985,1.000000,1.000000,0.998944,1.000000,0.816784
dsdxd8,0.982778,0.293836,0.694271,0.378761,0.000034,0.984353,0.723871,0.500000,0.595636,0.727521,0.000034,0.333221,0.995464,0.999886,0.999382,0.000034,0.012744,0.937869,0.042564,0.353504,0.999662,0.961932,0.012339,0.999108,0.999765,0.992908,0.437423,0.997160,0.110716,0.343338,0.000310,0.878094,0.000002,0.000034,0.916420,0.000034,0.934187,0.999990,0.606605,0.808408,0.937960,0.480151,0.943056,1.000000,0.000286,0.004939,0.996010,0.956311,0.762719,0.999900,0.376330,0.454526,0.976872,0.000049
dtqb7d,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
elnfhc,0.478886,0.043485,0.219691,0.228479,0.000009,0.994906,0.469782,0.720437,0.508711,0.500000,0.000009,0.466055,0.999526,0.997726,0.383932,0.000009,0.227507,0.956263,0.038573,0.943708,0.989655,0.996209,0.095696,0.530572,0.833072,0.784583,0.830706,1.000000,0.321550,0.662444,0.000073,0.925941,0.000010,0.000009,0.952221,0.000009,0.394663,0.999822,0.255113,0.998076,0.972782,0.078510,0.907548,0.722803,0.000207,0.001046,0.999409,0.754757,0.152087,0.999386,0.047352,0.006280,0.665195,0.000025
habc8,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
hemmb2,0.934197,0.950279,0.960439,0.965768,0.187040,0.993233,0.993030,0.994294,0.202884,0.879327,0.187040,0.500000,0.999051,0.974002,0.985053,0.187040,0.995750,0.972368,0.974773,0.996307,0.983093,0.996803,0.857450,0.913272,0.329707,0.947105,0.997000,0.982160,0.988554,0.999713,0.021905,0.974119,0.029902,0.187040,0.917119,0.187040,0.583286,0.965517,0.466095,0.625280,0.933507,0.425824,0.922626,0.794545,0.714933,0.832198,0.997226,0.995054,0.990792,0.999587,0.889301,0.866291,0.189028,0.405545
hmnhx4,1.000000,0.540093,0.000052,0.028370,0.000000,1.000000,0.083973,0.999999,0.808593,0.843910,0.000000,0.002092,0.500000,0.999005,0.999565,0.000000,0.000673,1.000000,0.000921,0.000000,0.997117,0.890898,0.028776,0.999984,1.000000,0.005231,0.884993,0.574821,0.071704,0.001487,0.000000,0.261835,0.000000,0.000000,0.385767,0.000000,0.999999,0.989462,0.610030,0.438510,0.248176,0.106446,0.159991,0.990046,0.000000,0.007492,0.480062,0.568744,0.227630,0.917681,0.380461,0.161662,1.000000,0.000000
