,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
ajb9b3,-0.7116795330459922,-0.2658022583803896,-0.6979285452121049,-0.7898754879654238,0.0001,-0.7639496393346388,-0.4482686164965604,-0.7869102853441785,-0.4499808032813162,-0.27573037511992426,0.0001,-0.7321490072842758,-0.7439302577762003,-0.7797208441696011,-0.7265844708142662,0.0001,-0.5515964583890366,-0.8080041635279148,-0.5985442283166494,-0.5838636193747128,-0.5780331527388118,-0.7858045899529735,-0.7146468376907621,-0.7118342309371857,-0.6214270934586031,-0.48658285628084047,-0.7972420154123866,-0.7876989353896576,-0.6025832145132913,-0.4466404258560875,-0.39482399112358196,-0.6597754309058593,-0.4194874696643967,0.0001,-0.7930343484947399,0.0001,-0.777103307446911,-0.6521820622634241,-0.2477127249764117,-0.8229527109691397,-0.6337135814604007,-0.29483948277372224,-0.5821225184753724,-0.7167725342049935,-0.6042622110144066,-0.12305992022606599,-0.6496873469998304,-0.7838989900914897,-0.7704506173870235,-0.7744456120457058,-0.38585507623044396,-0.6947300813591041,-0.6830617433369769,-0.2812173112858328
ajdqnf,-0.23413059615336762,-0.8514223477942362,-0.13838244930699634,-0.24579913773332113,0.0001,-0.24792923881738493,-0.11279869888910324,-0.1423801758655485,-0.5540111648294045,-0.8219809681960576,0.0001,-0.18127988254768937,-0.1663850789842121,-0.2528662713094115,-0.21507640997288072,0.0001,-0.11782101993478673,-0.25346698931488043,-0.12135425993809806,-0.11609869693303293,-0.5377326295856049,-0.18964133254023702,-0.16156789524086623,-0.3073117755473526,-0.18051007927271243,-0.0763477412858055,-0.24168906003199203,-0.249214950112332,-0.11204086612704321,-0.11190587653310245,-0.05800875715959792,-0.12507617178189928,-0.08733301102139565,0.0001,-0.34640367765998287,0.0001,-0.29735338039106357,-0.16158610038175203,-0.855274180743583,-0.24709507817819584,-0.1484262257242392,-0.7074565278443868,-0.1355123841812914,-0.21052842059970403,-0.127756469710675,-0.0756527775309175,-0.14616259346638008,-0.17637446184582242,-0.17276352863943142,-0.21096095852661848,-0.749178864067878,-0.1413844477301438,-0.1922334647493766,-0.08524552451608855
amsh7c,-0.4922179505368581,-0.10965164838161434,-0.6063328712057857,-0.5101996563695325,0.0001,-0.532449694140726,-0.4042868768380276,-0.6516222305181981,-0.28403210498817594,-0.11941109968279023,0.0001,-0.3055713656804265,-0.43300816943784404,-0.07702309046922326,-0.5651260718195978,0.0001,-0.5381460020066791,-0.2689381290296019,-0.3472548868179127,-0.675231483436422,-0.2545439942456923,-0.4778773885842947,-0.6303404944579585,-0.4862640780554482,-0.4476307324552065,-0.5344356038453675,-0.5029608547682899,-0.4554663099818107,-0.5827436727264987,-0.4922969117623957,-0.37536085637750816,-0.5696996359485541,-0.5917067639945499,0.0001,-0.214697164613049,0.0001,-0.35280098473389504,-0.1994723361662541,-0.08425645307606967,-0.37711056161301415,-0.5458581320798447,-0.2018399390443636,-0.25947073969853096,-0.5584292610567118,-0.5899230266275919,-0.14208380757668176,-0.3154478765763178,-0.45343150517379266,-0.5072155523934315,-0.6319707225828027,-0.1754241486070141,-0.5586066622712783,-0.3622227477802635,-0.30287171994933926
bay6g7,-0.29852716298141313,-0.8502963908037852,-0.14899296184710728,-0.3030483896818618,0.0001,-0.30383827120036627,-0.1390997940729735,-0.22496734998526416,-0.6625925483129389,-0.8571104252903197,0.0001,-0.23553418226123363,-0.19474192683173167,-0.2902809012447146,-0.26859344301788557,0.0001,-0.14568144064179278,-0.3224762906538624,-0.13861195716593003,-0.14320470781406341,-0.6463042666760129,-0.25305412565349733,-0.17811089054058937,-0.3662346202506974,-0.23133600597379847,-0.13502488772483695,-0.3079085543695638,-0.30038330173132505,-0.1374256677785759,-0.1197211419126155,-0.08957367201859107,-0.17977799011908444,-0.08828434469248775,0.0001,-0.4153169011319881,0.0001,-0.36230739767069836,-0.1749292244168022,-0.8446625553307515,-0.29767016714830385,-0.17232365271488967,-0.7968163291932643,-0.15762238912151164,-0.26908367725113685,-0.13630073178608446,-0.0713036163909757,-0.17350872849726576,-0.25346524297158035,-0.15769558544046564,-0.255984302222445,-0.8249692079238972,-0.18306694744959845,-0.24037354519182866,-0.06591733780999046
cjdk88,-0.8377072122204506,-0.2248714121689798,-0.6836148015146175,-0.7657542131479355,0.0001,-0.7848475214655114,-0.5549229196688639,-0.8363873123377122,-0.5052320977915378,-0.24397561878064597,0.0001,-0.8262439247729808,-0.8046727181475349,-0.8308809415300796,-0.8547427167276507,0.0001,-0.732199772929313,-0.8325864893757474,-0.5302269272661195,-0.07586647459905449,-0.33664937172787646,-0.6996615129121266,-0.8284049838772204,-0.7773892915184266,-0.8058638808622739,-0.4401382943531278,-0.7325010223229318,-0.6870639860851158,-0.585576819285587,-0.6679171669764434,-0.5179161167654867,-0.6850305873124896,-0.5530832953568674,0.0001,-0.25817329589945726,0.0001,-0.7716683334403839,-0.7802192630492517,-0.14203551298943506,-0.6760066747452012,-0.4875887134195605,-0.36898286953983683,-0.6541783953519729,-0.8530913926154642,-0.48567210620954887,-0.11468588144344116,-0.5385211034921911,-0.8410482935778202,-0.7437943391807743,-0.8535801060655442,-0.3338259867317106,-0.7532820232371833,-0.7918992704806279,-0.1588791831247495
ctkbn4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
dlokv6,-0.5521571964120261,-0.15459176839188843,-0.6812490865107169,-0.5812801072290796,0.0001,-0.5452985350266591,-0.43737979311777525,-0.749245989775605,-0.30730722897527385,-0.16850164808751814,0.0001,-0.7161901899140695,-0.6213839428256802,-0.7038256957964985,-0.6967939691628403,0.0001,-0.5985040874220038,-0.6706883278082764,-0.6768412215658082,-0.2753751746352647,-0.24186577007701168,-0.605439499001089,-0.7520037586968291,-0.5551371980177979,-0.6489222985756935,-0.559899602918119,-0.6622820868748743,-0.372632869159764,-0.6662344512994857,-0.5014932177836954,-0.463259139417991,-0.5581487667150431,-0.594000185072069,0.0001,-0.3814726349569216,0.0001,-0.5374197075668047,-0.7828964877640785,-0.10380182665410072,-0.6644821735531322,-0.6444997546423853,-0.2223392901387374,-0.7675958683067511,-0.7466827868832393,-0.5962171580991322,-0.20112756124934408,-0.6657612694318776,-0.7383542912573163,-0.6492508394698082,-0.7628874798163603,-0.23222873398167104,-0.678784140246367,-0.5851299136239104,-0.2096556448642768
dsdxd8,-0.7783380685583468,-0.20192430025139263,-0.6756836848233005,-0.7800535632568384,0.0001,-0.7792861540332434,-0.6521544378862685,-0.6257177961658945,-0.4835120419999541,-0.23137110467907432,0.0001,-0.8060046012558403,-0.7353762492954904,-0.8236865878793842,-0.8114921335476001,0.0001,-0.536796606713086,-0.7834294442222216,-0.6593756903635322,-0.6209920911257126,-0.5251642897728499,-0.815730582144846,-0.6811901188047123,-0.7489227609010275,-0.8325478131354629,-0.6654288552483801,-0.6998325598143078,-0.818078286617164,-0.638796055571113,-0.5494015907785826,-0.35892949768583426,-0.7721387828040704,-0.4167063625207753,0.0001,-0.6995600179531536,0.0001,-0.7273288525438173,-0.7307674513548014,-0.1996175694313561,-0.7631771051286664,-0.6667797581875207,-0.3740184429978685,-0.7532283306320168,-0.8542198292277817,-0.6434758376203282,-0.21496941529126942,-0.7994482522033198,-0.7549609754668832,-0.7488378431946984,-0.8064275027248119,-0.3326095028747163,-0.6951073483084752,-0.7447593444139357,-0.27691222377361785
dtqb7d,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
elnfhc,-0.7614232977053593,-0.26023527461446344,-0.49242079718315945,-0.7936256018351224,0.0001,-0.7835249090944982,-0.46269683960525587,-0.6324082998372234,-0.6822972065295873,-0.3686367360749825,0.0001,-0.7043419156519751,-0.6514688524564818,-0.8112011224193398,-0.717522707416426,0.0001,-0.47635235040970914,-0.7670420801453184,-0.4733021096333461,-0.5340886737099199,-0.6963003778772519,-0.7584347930910157,-0.614074203574515,-0.8084717880273448,-0.6263990814666588,-0.44401913318659997,-0.7770039737825153,-0.8328606295020107,-0.5359423433174566,-0.4505398707166556,-0.370843402127767,-0.6253553766687467,-0.3880232601734274,0.0001,-0.8239555183312027,0.0001,-0.800426347211858,-0.7004581244020731,-0.30594512626060766,-0.7875589085773566,-0.548852449508435,-0.5143643980161459,-0.6253103422466549,-0.7126148518671055,-0.4835079995944054,-0.13789843280715122,-0.6451267628374728,-0.694803569449061,-0.5832108159440116,-0.7687195824779732,-0.45317193761825303,-0.5202193757081875,-0.6571054882105072,-0.2568187425745465
