,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
habc8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
hemmb2,20.394147,-24.529818,5.991347,23.693725,-42.620041,14.531612,-9.719453,52.911155,-10.538214,-22.100793,-42.620041,0.000000,12.537968,78.182966,27.302782,-42.620041,3.174171,16.421420,-4.597221,-0.203600,-6.872301,27.359042,13.929804,10.729882,-5.848334,-5.220892,27.383045,17.049869,7.476766,-4.014982,-14.585009,13.958079,-11.302421,-42.620041,8.010050,-42.620041,5.207729,4.383146,-27.223967,6.071315,7.844716,-16.972371,-1.323155,8.176699,1.284684,-28.748802,16.636937,22.820234,13.944248,265.382049,-17.079061,3.604338,-3.265192,-22.944274
hmnhx4,-16.082718,-35.074771,-12.568048,25.114382,-51.389633,-14.135803,-14.783915,-28.231873,-19.080718,-32.686191,-51.389633,36.241154,0.000000,-129.848794,-13.338312,-51.389633,-10.690053,-20.176700,-14.593966,-26.849237,-18.965135,5.598045,69.388154,0.176099,-10.490368,-15.510932,-19.595798,-9.433265,-7.497199,-19.080490,-29.407209,38.088974,-11.691756,-51.389633,-17.410706,-51.389633,11.863863,-9.125196,-35.856892,-6.154427,-13.736280,-26.200214,-74.219640,58.569001,-10.995604,-31.005608,-24.081556,-17.560238,-25.620579,4.556448,-28.563935,-71.887533,-13.042775,-38.542855
hnldm2,3.192837,-30.868826,-21.137856,59.400505,-55.324374,-1.332878,-26.986638,-22.192430,-9.293834,-24.279841,-55.324374,-22.230181,-19.241383,0.000000,-26.653997,-55.324374,-24.063112,-2.401615,-29.260423,-23.979020,-8.907409,-23.662213,-21.766018,-5.373009,-24.870157,-24.357548,-27.752950,-1.779319,-28.802473,-26.967995,-30.380545,-21.155535,-27.892742,-55.324374,-4.958054,-55.324374,-3.619980,-17.636964,-29.331367,6.368068,-21.923449,-14.349646,-21.110358,-25.073265,-24.565200,-51.981863,-21.876070,-21.742582,-22.719608,-30.000431,-19.704759,-21.432408,-25.048765,-41.055312
jac345,31.733978,-25.923547,2.950263,-263.991414,-46.064993,6.024627,-14.785420,24.052969,-12.225109,-22.346805,-46.064993,7.403642,20.584547,-22.637237,0.000000,-46.064993,-5.176496,-84.605951,-10.825666,-10.032439,-5.827392,90.373659,1.505878,14.113811,-2.171647,-13.565101,-3439.198137,-36.042083,-6.578739,-12.804731,-17.753571,5.852974,-17.165243,-46.064993,40.391414,-46.064993,25.789768,12.026494,-26.075594,29.997595,-4.809378,-21.330520,-7.562918,6.811892,-9.469868,-31.062414,-5.075560,12.163046,8.829127,-283.167266,-18.366288,-1.449878,8.177938,-23.637037
jahq76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
jdf5g4,-2.943952,-28.759944,-1.863155,-3.526575,-39.080596,0.391490,-5.714401,-3.006330,-15.826489,-27.250649,-39.080596,-2.799026,-4.044774,-1.524405,0.698046,-39.080596,0.000000,-8.013879,1.062231,-9.708531,-16.778611,-6.416305,-5.728387,-5.402489,-4.427838,-11.068997,-2.989525,-8.611415,11.384525,1.803495,-5.111297,2.736794,-6.614562,-39.080596,-11.589521,-39.080596,-8.648198,6.045913,-31.400891,-5.552651,2.960794,-21.261142,2.110817,-7.756286,2.258294,-21.267142,-0.750960,4.256588,7.473639,-14.760630,-24.003992,6.271571,2.362768,-8.212636
jfk535,31.559134,-43.473426,-101.161745,1.555162,-67.510823,1.081271,-41.753068,16.635891,22.158200,-41.729585,-67.510823,16.968367,27.950225,0.090054,-314.508341,-67.510823,-46.238230,0.000000,-42.203805,-49.141660,-129.478767,33.956844,931.591021,0.639474,76.445733,-42.404707,0.532307,1.268645,-51.600248,-42.808069,-41.889937,133.620880,-41.462010,-67.510823,6.410400,-67.510823,0.575591,33.225547,-44.259248,3.438091,-84.626088,-46.294923,-61.646791,7.122038,-42.208066,-56.135566,-52.300063,8.469218,-64.806968,5.957986,-41.649664,-45.321302,49.009374,-44.701948
jhgn9c,7.501213,-24.159007,15.293699,4.574099,-36.164351,-5.051092,-0.193744,7.015514,-11.835950,-24.964116,-36.164351,10.756980,11.416914,5.120926,8.367305,-36.164351,4.287793,-0.696995,0.000000,-0.271567,-17.518252,-2.357957,4.778857,3.911394,10.460542,5.027690,1.753443,-3.247135,12.469118,4.281719,-0.514593,9.181175,-1.202711,-36.164351,-5.802195,-36.164351,-4.002831,0.316946,-26.838238,-1.659540,6.873912,-17.298287,8.273798,25.832135,6.596756,-25.043804,2.918816,11.639894,11.650574,5.975729,-23.382697,10.465589,3.404406,-15.739025
jkn7fc,27.041071,7.031110,26.720159,25.550405,-0.736688,20.429641,18.839596,29.423325,12.574739,7.406075,-0.736688,25.187596,21.716837,30.845292,31.951198,-0.736688,23.187114,27.365848,24.844441,0.000000,11.939408,27.454106,29.937648,23.088128,31.979345,25.664704,27.111892,14.395813,31.567567,25.649272,18.659840,33.810297,27.270896,-0.736688,18.885259,-0.736688,24.583381,32.710783,3.572646,27.204955,32.625719,8.640393,34.586890,17.580715,29.001885,9.998215,22.149028,33.860073,31.833408,18.477489,9.842432,36.524191,32.973326,17.371323
jlgwxc,14.146595,-35.021621,-39.220375,14.317359,-62.971984,7.164124,-35.228040,-40.578433,0.653003,-37.485903,-62.971984,-48.127903,-34.106759,-53.750679,8810.845913,-62.971984,-34.341759,4.544224,-40.468058,-39.829249,0.000000,-46.686082,-33.071801,-0.964581,-34.257470,-36.819612,9.415324,5.934843,-32.295169,-48.560402,-39.620291,-32.087392,-37.550543,-62.971984,-3.071402,-62.971984,-0.590011,-46.391107,-35.213082,6.675504,-31.223530,93.605615,-41.214101,-7927.207225,-35.491373,-65.844612,-31.990585,-39.219690,-33.757842,-37.567713,-89.156642,-31.291153,-52.508800,-61.468554
jlkm94,30.052202,-34.150543,-24.771665,-0.793800,-56.995693,-0.280638,-28.897014,-65.067779,-24.472833,-36.774809,-56.995693,-33.108031,-97.019486,-4.545662,6.755866,-56.995693,-24.377400,-0.366194,-23.260762,-24.143495,-19.010889,0.000000,-33.934331,-31.833047,-24.204900,-24.301278,-0.721898,-0.814751,-24.298575,-29.201992,-34.006373,-24.736247,-28.639419,-56.995693,-7.441091,-56.995693,-3.658855,-23.574697,-35.459484,-3.611680,-25.329359,-37.778139,-23.355209,-30.029400,-24.330579,-43.192165,-21.258022,-2.051871,-48.257962,43.237372,-26.482516,-25.445214,-36.507051,-38.215497
jmd5h8,9.630531,13.217103,0.242058,12.561126,-23.820814,3.258048,-6.376682,3.790601,13.971924,19.077666,-23.820814,4.720517,4.165031,14.020592,4.251418,-23.820814,-0.887816,14.453476,-2.346152,-2.810110,49.241099,8.244816,0.000000,4.737824,-2.314585,-3.142574,10.915286,13.443633,-3.426411,-7.214171,-7.401027,0.744017,-7.267883,-23.820814,27.425703,-23.820814,18.137426,2.793876,8.717308,14.307911,-0.580565,12.998459,0.026191,0.796639,-3.094811,-14.313634,0.981854,7.400575,0.437347,10.386484,28.334420,0.348407,4.718778,-12.377322
