,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
habc8,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
hemmb2,0.930176,0.936562,0.977086,0.989539,0.102321,0.993822,0.996931,0.997975,0.284335,0.860931,0.102321,0.500000,0.999608,0.978490,0.994203,0.102321,0.999721,0.976963,0.994295,0.999556,0.994848,0.999626,0.912418,0.949401,0.323113,0.973515,0.998588,0.987266,0.997451,0.999951,0.056834,0.993742,0.036660,0.102321,0.958176,0.102321,0.618361,0.971498,0.316296,0.702678,0.987738,0.461779,0.976834,0.827754,0.792238,0.877981,0.999083,0.995211,0.998398,0.999918,0.849254,0.942597,0.090429,0.506219
hmnhx4,1.000000,0.388976,0.000012,0.097867,0.000000,1.000000,0.073937,1.000000,0.690266,0.740811,0.000000,0.001170,0.500000,0.999962,0.999641,0.000000,0.001942,1.000000,0.000792,0.000000,0.999401,0.955029,0.074803,0.999999,1.000000,0.004010,0.925498,0.546437,0.119049,0.000758,0.000000,0.258423,0.000000,0.000000,0.259530,0.000000,1.000000,0.993715,0.333663,0.412581,0.219864,0.055206,0.173564,0.999602,0.000000,0.002856,0.710774,0.769552,0.516561,0.992462,0.178153,0.310341,1.000000,0.000000
hnldm2,0.372463,0.985894,0.003462,0.000001,0.000000,0.402832,0.000001,0.010209,1.000000,1.000000,0.000000,0.003144,0.284725,0.500000,0.000003,0.000000,0.000002,0.996930,0.000000,0.000091,1.000000,0.000249,0.000001,0.947806,0.332532,0.066913,0.000001,0.829810,0.000004,0.000013,0.000000,0.002391,0.000000,0.000000,0.411227,0.000000,0.000140,0.679626,0.947960,0.598036,0.390866,0.998566,0.010883,0.216332,0.000000,0.000000,0.133476,0.000643,0.001615,0.866621,0.015307,0.000007,0.015021,0.000000
jac345,0.995093,0.333776,0.998169,0.864373,0.000065,0.885777,0.220026,1.000000,0.000223,0.753152,0.000065,0.971650,0.999964,1.000000,0.500000,0.000065,0.922145,0.999996,0.421386,0.816620,0.899366,0.993397,0.707762,0.999031,0.970232,0.802643,0.902490,1.000000,0.950752,0.883673,0.049055,0.920671,0.013100,0.000065,0.813004,0.000065,0.733201,0.999454,0.529595,0.938167,0.995372,0.000000,0.687680,0.443099,0.024145,0.226661,0.975088,0.849782,0.989877,0.999269,0.363336,0.360397,0.994183,0.005831
jahq76,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
jdf5g4,0.996637,0.776860,0.937920,0.840207,0.013043,0.803581,0.961853,0.720372,0.686084,0.772441,0.013043,0.739786,0.191901,0.858228,0.838164,0.013043,0.500000,0.340447,0.470556,0.513013,0.934093,0.766085,0.547171,0.970581,0.973783,0.343310,0.977757,0.464304,0.955969,0.907156,0.096316,0.964859,0.029506,0.013043,0.708338,0.013043,0.779559,0.995992,0.110918,0.356600,0.996652,0.315478,0.805119,0.740447,0.098361,0.529862,0.883758,0.949640,0.996132,0.240244,0.186446,0.855529,0.970992,0.897764
jfk535,0.000000,0.000000,0.000000,0.000000,0.000000,0.997650,0.000000,1.000000,0.999776,1.000000,0.000000,0.000000,1.000000,0.780497,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.879135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.999952,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
jhgn9c,0.999998,0.999016,0.999998,0.999970,0.812774,0.994334,0.998983,0.999916,0.997292,0.998692,0.812774,0.999983,0.999994,0.999980,0.999826,0.812774,0.999084,0.983730,0.500000,0.999832,0.999909,0.948455,0.999780,1.000000,0.998217,0.999667,0.999598,0.987915,1.000000,0.999999,0.938500,0.998756,0.975199,0.812774,0.998417,0.812774,0.997126,0.923140,0.984644,0.998453,0.999986,0.997210,0.997689,1.000000,0.990596,0.667360,0.988527,0.999993,1.000000,0.999964,0.964883,0.999125,0.994835,0.985973
jkn7fc,0.999999,0.999971,0.999891,0.999995,0.963567,0.999925,0.998392,0.999919,0.998684,0.999442,0.963567,0.999976,0.992737,1.000000,1.000000,0.963567,0.999907,0.999983,0.999820,0.500000,0.999996,0.999991,0.999993,0.999999,0.999990,0.999893,0.999999,0.834514,0.999999,1.000000,0.553395,0.999982,0.976867,0.963567,0.999948,0.963567,0.999989,0.999998,0.978320,0.999999,1.000000,0.988490,0.999996,0.999916,0.999363,0.999616,0.999552,1.000000,0.999999,0.998179,0.999008,1.000000,0.999998,0.999689
